movieId,title,genres,diretor,atores,poster,backdrop
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,John Lasseter,"Tom Hanks, Tim Allen, Don Rickles, Jim Varney, Wallace Shawn",/uXDfjJbdP4ijW5hWSBrPrlKpxab.jpg,/3Rfvhy1Nl6sSGJwyjb0QiZzZYlB.jpg
2,Jumanji (1995),Adventure|Children|Fantasy,Joe Johnston,"Robin Williams, Kirsten Dunst, Bradley Pierce, Bonnie Hunt, Jonathan Hyde",/bdHG5Mo83VPobeZZdlSz0Y7HQHB.jpg,/qSxeCfWUUyht9hZgaaYmtPtTkw2.jpg
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,"Walter Matthau, Jack Lemmon, Ann-Margret, Sophia Loren, Daryl Hannah",/1FSXpj5e8l4KH6nVFO5SPUeraOt.jpg,/1o4vuCHpmd4DXofMYDUwpnhKiuy.jpg
4,Waiting to Exhale (1995),Comedy|Drama|Romance,Forest Whitaker,"Whitney Houston, Angela Bassett, Loretta Devine, Lela Rochon, Gregory Hines",/4wjGMwPsdlvi025ZqR4rXnFDvBz.jpg,/jZjoEKXMTDoZAGdkjhAdJaKtXSN.jpg
5,Father of the Bride Part II (1995),Comedy,Charles Shyer,"Steve Martin, Diane Keaton, Martin Short, Kimberly Williams-Paisley, George Newbern",/rj4LBtwQ0uGrpBnCELr716Qo3mw.jpg,/lEsjVrGU21BeJjF5AF9EWsihDpw.jpg
6,Heat (1995),Action|Crime|Thriller,Michael Mann,"Al Pacino, Robert De Niro, Val Kilmer, Jon Voight, Tom Sizemore",/umSVjVdbVwtx5ryCA2QXL44Durm.jpg,/xKsnZDERG1dk95wuZ5q9iks3OL3.jpg
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,"Harrison Ford, Julia Ormond, Greg Kinnear, Nancy Marchand, John Wood",/i8PbLJDPU7vCwwscWD625oHbJy.jpg,/oMGV48EGhsNavC1PL8HMeWs5Udq.jpg
8,Tom and Huck (1995),Adventure|Children,Peter Hewitt,"Jonathan Taylor Thomas, Brad Renfro, Eric Schweig, Charles Rocket, Amy Wright",/bMY31ikEOIPOHqQwhPhII8UVBln.jpg,/jP8lHNHD89xaRPfAdyz5KEVYcSb.jpg
9,Sudden Death (1995),Action,Peter Hyams,"Jean-Claude Van Damme, Powers Boothe, Raymond J. Barry, Whittni Wright, Ross Malinger",/4Snihptli0we9I4W5QfufOdHSeV.jpg,/wPSHboBNEInknw4VnCWOD2D8qc2.jpg
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,"Pierce Brosnan, Sean Bean, Izabella Scorupco, Famke Janssen, Joe Don Baker",/z0ljRnNxIO7CRBhLEO0DvLgAFPR.jpg,/fIWsCpYR9iGDMSbMTSAzy8L7Kg5.jpg
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,"Michael Douglas, Annette Bening, Martin Sheen, Michael J. Fox, Anna Deavere Smith",/yObOAYFIHXHkFPQ3jhgkN2ezaD.jpg,/62BnXyJtVEq4WKNSpnPG7QPYYDI.jpg
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,"Leslie Nielsen, Mel Brooks, Amy Yasbeck, Peter MacNicol, Lysette Anthony",/4rRfZz8YnHNRr16t3CFcJrPdXHi.jpg,/rLUTSWHmphMe0wH0WSFxcywzOHW.jpg
13,Balto (1995),Adventure|Animation|Children,Simon Wells,"Kevin Bacon, Bob Hoskins, Bridget Fonda, Jim Cummings, Phil Collins",/dCVcdb5oxDizqFLz0F7TE60NoC9.jpg,/hljMglukfpnfaNmUgMuORmL4OVW.jpg
14,Nixon (1995),Drama,Oliver Stone,"Anthony Hopkins, Joan Allen, Powers Boothe, Ed Harris, Bob Hoskins",/cz2MTGr2wpDZLirgV2rGHBdA2t3.jpg,/zAaFQHZV23SJgSwRBvW5PeD219H.jpg
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,"Geena Davis, Matthew Modine, Frank Langella, Maury Chaykin, Patrick Malahide",/hYdeBZ4BFXivdouxLfQGWNE6zRx.jpg,/hHoIQVAmTg4RM7PPNhNvMlJk3mg.jpg
16,Casino (1995),Crime|Drama,Martin Scorsese,"Robert De Niro, Sharon Stone, Joe Pesci, James Woods, Don Rickles",/gziIkUSnYuj9ChCi8qOu2ZunpSC.jpg,/iZGiMD0p1M2AOmzKknFo5bkuz94.jpg
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,"Emma Thompson, Kate Winslet, Alan Rickman, Hugh Grant, Gemma Jones",/9YdQ73YmvInxpXZVNjEKePw9tRO.jpg,/cFnyfWHL6HjOOVal6lp8e5gqibK.jpg
18,Four Rooms (1995),Comedy,Allison Anders; Alexandre Rockwell; Quentin Tarantino; Robert Rodriguez,"Tim Roth, Jennifer Beals, David Proval, Ione Skye, Madonna",/75aHn1NOYXh4M7L5shoeQ6NGykP.jpg,/c1BaOxC8bo5ACFYkYYxL0bBWRaq.jpg
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,"Jim Carrey, Ian McNeice, Simon Callow, Maynard Eziashi, Bob Gunton",/wcinCf1ov2D6M3P7BBZkzQFOiIb.jpg,/h5Y9T4OoFpMrONhVBZvN2X2DfAB.jpg
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,Joseph Ruben,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper",/jWBDz6Mf9aQVBiUS76JQsEhvoJl.jpg,/5yOey9XDiwxikXgj5KDtP3mzpra.jpg
21,Get Shorty (1995),Comedy|Crime|Thriller,Barry Sonnenfeld,"John Travolta, Gene Hackman, Rene Russo, Danny DeVito, Dennis Farina",/r82SdPhg4fnIcLt0ogIjQxqjdcO.jpg,/wiZT8DVmAZNwmqd8G3QjWZ1mpLB.jpg
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,Jon Amiel,"Sigourney Weaver, Holly Hunter, Dermot Mulroney, William McNamara, Harry Connick Jr.",/oMgwJb016znNZcpDR20eXxZoW8A.jpg,/f0wTYitK1lELuGygXslG7SQpY0E.jpg
23,Assassins (1995),Action|Crime|Thriller,Richard Donner,"Sylvester Stallone, Antonio Banderas, Julianne Moore, Anatoli Davydov, Muse Watson",/wPmZYnaQpxwoHmwNwVhZ2IY0UbF.jpg,/sYpmWBe1IO7Fxthtw3UmlzQEylK.jpg
24,Powder (1995),Drama|Sci-Fi,Victor Salva,"Mary Steenburgen, Sean Patrick Flanery, Lance Henriksen, Jeff Goldblum, Brandon Smith",/aQSA63T7zyzZxBZxr2MQaxt1gtO.jpg,/gAeFtnwgF4asNVbmrudWMHOilWj.jpg
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,"Nicolas Cage, Elisabeth Shue, Julian Sands, Richard Lewis, Steven Weber",/wIfP6uLXD9Ptu68SyRx8WuSNNSK.jpg,/ckTh7Ej33m9O4eiKDQ1u91Opd9N.jpg
26,Othello (1995),Drama,Oliver Parker,"Laurence Fishburne, Irène Jacob, Kenneth Branagh, Nathaniel Parker, Michael Maloney",/kyevuYzW36wKadiE8lftLac5VwQ.jpg,/7SqIfSVW3xKTk07FbUm4LrhOOeL.jpg
27,Now and Then (1995),Children|Drama,Lesli Linka Glatter,"Christina Ricci, Rosie O'Donnell, Thora Birch, Melanie Griffith, Gaby Hoffmann",/q31Ks8oAmM4Nq2CcGjyYYpdBAmh.jpg,/ic529Vlnxmp2ArVSYr5vBLoNFEK.jpg
28,Persuasion (1995),Drama|Romance,Roger Michell,"Amanda Root, Ciarán Hinds, Susan Fleetwood, Corin Redgrave, Fiona Shaw",/10hycdhFLq3M3y0ONxIMSiY8Mrs.jpg,/evCHYeumw4Y4hikG4AG9o5yZXUW.jpg
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,Jean-Pierre Jeunet; Marc Caro,"Ron Perlman, Dominique Pinon, Judith Vittet, Daniel Emilfork, Jean-Claude Dreyfus",/zwTqStZ0wCDoi5hD1wZjJjUKtFq.jpg,/yDjsUoEANHggKFabkAyTu3Y9j4N.jpg
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,Zhang Yimou,"Gong Li, Li Baotian, Sun Chun, Li Xuejian, Liu Jiang",/tzG1UxUSfPACREjgBrsPDRUvneH.jpg,/gHG1OogmvDJldyi1tjqncjoblKV.jpg
31,Dangerous Minds (1995),Drama,John N. Smith,"Michelle Pfeiffer, George Dzundza, Courtney B. Vance, Robin Bartlett, Beatrice Winde",/yWHWC8fJRp2kLgiFrEa8o3krOH9.jpg,/yK5vziICSiW6uHLltNqkZ1TXhNx.jpg
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,Terry Gilliam,"Bruce Willis, Madeleine Stowe, Brad Pitt, Christopher Plummer, David Morse",/gt3iyguaCIw8DpQZI1LIN5TohM2.jpg,/mKIkGoyuR71qz6FdiEiOjxvBQcS.jpg
